V1
CP009556.1 Burkholderia oklahomensis C6786 chromosome II complete sequence
CP009587.1 Burkholderia mallei strain 11 chromosome I complete sequence
CP009588.1 Burkholderia mallei strain 11 chromosome II complete sequence
CP009601.1 Burkholderia thailandensis 2002721643 chromosome I complete sequence
CP009602.1 Burkholderia thailandensis 2002721643 chromosome II complete sequence
CP009631.1 Burkholderia vietnamiensis LMG 10929 chromosome I complete sequence
CP009630.1 Burkholderia vietnamiensis LMG 10929 chromosome II complete sequence
CP009632.1 Burkholderia vietnamiensis LMG 10929 chromosome III complete sequence
CP009629.1 Burkholderia vietnamiensis LMG 10929 plasmid pBVB_1 complete sequence
CP009642.1 Burkholderia mallei strain India86-567-2 chromosome I complete sequence
CP009643.1 Burkholderia mallei strain India86-567-2 chromosome II complete sequence
CP009707.1 Burkholderia mallei strain 2002734306 chromosome I complete sequence
CP009708.1 Burkholderia mallei strain 2002734306 chromosome II complete sequence
CP009795.1 Burkholderia dolosa AU0158 chromosome 1 complete sequence
CP009793.1 Burkholderia dolosa AU0158 chromosome 2 complete sequence
CP009794.1 Burkholderia dolosa AU0158 chromosome 3 complete sequence
CP009832.1 Burkholderia multivorans ATCC BAA-247 chromosome 1 complete sequence
CP009831.1 Burkholderia multivorans ATCC BAA-247 chromosome 2 complete sequence
CP009830.1 Burkholderia multivorans ATCC BAA-247 chromosome 3 complete sequence
CP009798.1 Burkholderia ambifaria AMMD chromosome 1 complete sequence
CP009799.1 Burkholderia ambifaria AMMD chromosome 2 complete sequence
CP009800.1 Burkholderia ambifaria AMMD chromosome 3 complete sequence
CP009797.1 Burkholderia ambifaria AMMD plasmid pBII_1 complete sequence
CP010017.1 Burkholderia thailandensis 34 chromosome 1 complete sequence
CP010018.1 Burkholderia thailandensis 34 chromosome 2 complete sequence
CP010016.1 Burkholderia thailandensis 34 plasmid complete sequence
CP010065.1 Burkholderia mallei strain 2002721276 chromosome 1 complete sequence
CP010066.1 Burkholderia mallei strain 2002721276 chromosome 2 complete sequence
CP009323.1 Burkholderia gladioli strain ATCC 10248 chromosome 1 complete sequence
CP009321.1 Burkholderia gladioli strain ATCC 10248 plasmid 1 complete sequence
CP009322.1 Burkholderia gladioli strain ATCC 10248 chromosome 2 complete sequence
CP009320.1 Burkholderia gladioli strain ATCC 10248 plasmid 2 complete sequence
CP009319.1 Burkholderia gladioli strain ATCC 10248 plasmid 3 complete sequence
CP009435.1 Burkholderia glumae LMG 2196 = ATCC 33617 chromosome I complete sequence
CP009434.1 Burkholderia glumae LMG 2196 = ATCC 33617 chromosome II complete sequence
CP009433.1 Burkholderia glumae LMG 2196 = ATCC 33617 plasmid pBIN_1 complete sequence
CP009432.1 Burkholderia glumae LMG 2196 = ATCC 33617 plasmid pBIN_2 complete sequence
CP011301.1 Burkholderia cepacia strain LO6 complete genome
CP011503.1 Burkholderia pyrrocinia strain DSM 10685 chromosome 1 complete sequence
CP011504.1 Burkholderia pyrrocinia strain DSM 10685 chromosome 2 complete sequence
CP011505.1 Burkholderia pyrrocinia strain DSM 10685 chromosome 3 complete sequence
CP011506.1 Burkholderia pyrrocinia strain DSM 10685 plasmid p2327 complete sequence
CP009743.1 Burkholderia contaminans strain MS14 chromosome 1 complete sequence
CP009744.1 Burkholderia contaminans strain MS14 chromosome 2 complete sequence
CP009745.1 Burkholderia contaminans strain MS14 chromosome 3 complete sequence
CP012515.1 Burkholderia pseudomallei strain vgh16R chromosome 1 complete sequence
CP012516.1 Burkholderia pseudomallei strain vgh16R chromosome 2 complete sequence
CP012517.1 Burkholderia pseudomallei strain vgh16W chromosome 1 complete sequence
CP012518.1 Burkholderia pseudomallei strain vgh16W chromosome 2 complete sequence
CP012576.1 Burkholderia pseudomallei strain 982 chromosome 1 complete sequence
CP012577.1 Burkholderia pseudomallei strain 982 chromosome 2 complete sequence
CP012192.1 Burkholderia sp. HB1 chromosome 1 complete sequence
CP012193.1 Burkholderia sp. HB1 complete sequence
CP012041.1 Burkholderia pseudomallei strain Bp1651 chromosome 1 complete sequence
CP012042.1 Burkholderia pseudomallei strain Bp1651 chromosome 2 complete sequence
CP012981.1 Burkholderia cepacia ATCC 25416 chromosome 1 complete sequence
CP012982.1 Burkholderia cepacia ATCC 25416 chromosome 2 complete sequence
CP012983.1 Burkholderia cepacia ATCC 25416 chromosome 3 complete sequence
CP012984.1 Burkholderia cepacia ATCC 25416 plasmid pBC25416 complete sequence
CP007212.1 Burkholderia plantarii strain ATCC 43733 chromosome 1 complete sequence
CP007213.1 Burkholderia plantarii strain ATCC 43733 chromosome 2 complete sequence
CP007214.1 Burkholderia plantarii strain ATCC 43733 plasmid bpln_1p complete sequence
CP011917.1 Burkholderia cenocepacia strain ST32 chromosome 1 complete sequence
CP011918.1 Burkholderia cenocepacia strain ST32 chromosome 2 complete sequence
CP011919.1 Burkholderia cenocepacia strain ST32 chromosome 3 complete sequence
CP011920.1 Burkholderia cenocepacia strain ST32 plasmid pBCEN1232 complete sequence
CP013380.1 Burkholderia sp. Bp5365 strain MSMB43 chromosome 1 complete sequence
CP013382.1 Burkholderia sp. Bp5365 strain MSMB43 chromosome 2 complete sequence
